n;k-3 - minComparisons;k-3 - maxComparisons;k-3 - averageCnomparisons;k-3 - standCnomparisons;k-3 - minSets;k-3 - maxSets;k-3 - avgSets;k-3 - stdSets;k-3 - time;k-5 - minComparisons;k-5 - maxComparisons;k-5 - averageCnomparisons;k-5 - standCnomparisons;k-5 - minSets;k-5 - maxSets;k-5 - avgSets;k-5 - stdSets;k-5 - time;k-7 - minComparisons;k-7 - maxComparisons;k-7 - averageCnomparisons;k-7 - standCnomparisons;k-7 - minSets;k-7 - maxSets;k-7 - avgSets;k-7 - stdSets;k-7 - time;k-17 - minComparisons;k-17 - maxComparisons;k-17 - averageCnomparisons;k-17 - standCnomparisons;k-17 - minSets;k-17 - maxSets;k-17 - avgSets;k-17 - stdSets;k-17 - time;k-9 - minComparisons;k-9 - maxComparisons;k-9 - averageCnomparisons;k-9 - standCnomparisons;k-9 - minSets;k-9 - maxSets;k-9 - avgSets;k-9 - stdSets;k-9 - time;k-25 - minComparisons;k-25 - maxComparisons;k-25 - averageCnomparisons;k-25 - standCnomparisons;k-25 - minSets;k-25 - maxSets;k-25 - avgSets;k-25 - stdSets;k-25 - time
8700;45893;64205;60552;0;18998;27115;24817;914;20265;38715;46468;44174;1022;19646;23686;22167;730;12656;31349;42313;40284;871;22108;30121;28532;698;11696;32171;37814;36124;690;61017;72283;69044;957;12311;34032;40135;38593;705;31869;37789;36055;748;11799;33984;36824;35483;580;96796;106645;102859;1147;12738
8800;33163;64998;61326;0;13618;27203;25135;988;10256;39310;46938;44747;1023;19679;23966;22524;681;6276;30809;42670;40751;927;21763;30499;28825;765;5821;18819;38072;36622;831;36054;72364;69767;1439;5926;33923;40482;39010;753;31853;38062;36524;725;5853;18317;37226;35901;813;52502;107468;104035;0;6360
8900;49753;66081;62047;0;20492;27605;25434;937;26433;38560;47325;45310;985;19492;24248;22806;665;16755;36584;43196;41189;854;25899;31083;29079;757;15479;35950;38392;36984;658;68235;73323;70639;913;15921;20120;41127;39474;949;18814;38673;36873;955;15482;27659;37698;36239;719;78950;108727;105176;0;16804
9000;50177;66695;62850;0;20500;28175;25746;897;27126;34855;47992;45790;1077;17631;24514;22986;742;17109;38227;43618;41730;830;26690;30978;29524;695;15713;33350;38976;37451;647;63085;75028;71399;1010;16390;35571;41626;39922;728;33193;39231;37367;718;15738;32376;38069;36791;572;93822;110130;106426;1268;17161
9100;50727;67458;63553;0;20718;28132;26028;960;27643;40706;48757;46268;1081;20398;25325;23247;737;17382;39246;44097;42136;866;27756;31452;29823;720;16098;33699;39354;37884;663;63566;75354;72258;1019;16745;31094;42329;40346;833;28988;39662;37743;827;16119;35803;38553;37078;653;103048;111425;107707;1143;17467
9200;33513;68441;64178;411;13528;28432;26303;1043;28442;41475;49233;46786;1036;20932;25201;23564;681;17808;32824;44799;42652;894;23348;31740;30111;785;16456;36992;39834;38324;650;70134;75709;73104;960;17027;38585;42540;40861;719;36048;39817;38187;735;16429;33459;38932;37602;567;96968;112265;108826;1209;17938
9300;50997;68820;65006;0;20970;29071;26631;895;28356;40536;49652;47351;1045;20602;25282;23824;695;17787;39281;45061;43117;868;27694;32122;30508;730;16311;37083;40264;38788;598;70285;76331;73872;924;16950;31600;42958;41229;901;29753;40221;38578;867;16410;28753;39555;37939;694;82470;114674;110051;0;18011
9400;53657;69450;65627;0;21761;29213;26870;966;26012;42889;50172;47918;985;21641;25567;24065;716;16410;33275;45435;43604;892;23830;32441;30843;747;15203;29953;40873;39128;734;56725;77208;74690;1077;15742;38707;43432;41756;726;36074;41057;39015;754;15209;36335;39818;38388;610;104316;114562;111353;1163;16384
9500;34739;70286;66370;0;14287;29467;27177;1047;15863;42192;50542;48407;1021;21505;25984;24331;700;9791;39342;46078;44136;814;27865;32935;31205;715;9038;37826;41063;39677;585;71448;78045;75524;918;9493;37574;43968;42154;760;35181;41238;39443;752;9156;19772;40133;38833;826;57574;115901;112439;324;9907
9600;34708;71215;67015;969;14108;29572;27440;1113;21514;42507;51106;48892;1068;21519;26200;24651;677;13324;41633;46733;44584;804;29644;33352;31555;682;12467;30657;41592;39998;752;57724;79216;76293;1153;12762;30595;44250;42626;835;28614;41555;39858;828;12261;38275;40629;39139;653;110725;117278;113647;1164;13260
9700;56972;72082;67911;0;23036;30122;27790;972;27521;43519;51625;49456;999;21997;26349;24890;674;17172;40836;46877;45044;865;29138;33566;31864;723;15987;38049;41927;40517;621;71591;79578;77119;955;16568;32746;44707;43043;925;30484;42371;40313;891;15894;20154;41179;39663;851;57826;118563;114849;732;17193
9800;52876;73171;68513;0;21484;30354;28036;1011;29190;44370;52245;49947;1124;22326;26795;25091;761;18452;39487;47744;45530;932;28216;33735;32165;790;17214;31238;42384;40882;801;59421;80658;77875;1298;17602;40176;45459;43551;755;37876;42560;40752;749;17154;38043;41488;40009;633;110133;119740;116039;1213;18588
9900;35113;73506;69391;0;14076;30533;28405;1029;24477;44472;53061;50491;1064;22394;27067;25410;713;14801;42093;47923;45982;862;29857;34154;32577;682;13787;40282;42763;41367;645;75496;81508;78786;956;14166;33636;45762;43968;826;31422;42997;41162;814;13641;30797;42001;40457;700;89299;121254;117269;0;15094
10000;56776;73874;69998;0;22735;30794;28630;1031;22979;45525;53524;51074;1007;22892;27358;25736;669;14367;43322;48302;46477;859;30595;34578;32866;732;13206;40372;43289;41807;622;76315;82239;79526;985;13594;41226;46087;44463;748;38519;43295;41610;744;13125;38875;42403;40899;607;111694;122181;118514;1237;14138
